Name,AttributeDataType,AttributeDefault,AttributeGroup,AttributePurpose,AttributeInheritsPrefs,AttributeReadOnly,AttributeIntrinsic,OriginalVersion,CodeFirstAdded,CodeAltered,PlainLinkCount,TextLinkCount,WebLinkCount,ChangeRefSet,IsInternalOnly,HasUISetting,Text,TextJa
Aliases,list,(not set - empty string),General,Calculated data,,true,,8.0.0,Baseline,,,,,,,,"Returns a list of paths to each alias of the original of this note.\nThis information is seldom necessary for normal use. If you need to rely on $Aliases, consider whether a different approach might be better. For where this approach is needed see more on finding/counting aliases (see the heading there 'Finding and counting aliases').",このメモのオリジナルの各エイリアスへのパスのリストを返します。\nこの情報は通常の使用にはほとんど必要ありません。$Aliases に依存する必要がある場合は、別のアプローチの方が良いかどうかを検討してください。このアプローチが必要な場合は、エイリアスの検索/カウントの詳細を参照してください (「エイリアスの検索とカウント」という見出しを参照してください)。
ArticleTitle,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,"Used for Bookends reference import. Maps to RIS data tag 'T1', but only for reference type CHAP (Chapter).",Bookends リファレンスのインポートに使用されます。RIS データタグ「T1」にマップされますが、参照タイプ CHAP (章) のみに対応します。
Associates,set,(not set - empty string),Composites,Composite configuration,,true,true,7.0.0,Baseline,,,,,,,,"A set holding the $Name strings of the (titled) items in the current composite.\nFor new composites, or where some notes do not yet have titles set, those notes return their $Role value instead of $Name.",現在のコンポジット内の (タイトル付き) アイテムの $Name 文字列を保持するセット。\n新しい合成の場合、または一部のノートにまだタイトルが設定されていない場合、それらのノートは $Name の代わりに $Role 値を返します。
Author2,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'A2'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「A2」にマップします。
Author3,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'A3'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「A3」にマップします。
Author4,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'A4'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「A4」にマップされます。
Authors,list,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,"Used for Bookends reference import. Maps to RIS data tag 'AU'.\n$Authors is a List-type attribute (it was a Set in older releases). This is to avoid the listing being re-ordered alphabetically, now that the sorting of Set-type attributes is more aggressive in v9+. That is unhelpful if the authors of academic papers have been listed in order of appearance of the paper. If author names are entered in first name(s) then last name order, default (Set) alphabetical listing will use first name.\nTo purge possible duplicates now $Authors is a List, consider a stamp using the list.unique operator:\n	$Authors = $Authors.unique;  \nBut, be aware this will impose an alphabetical sort.",Bookends リファレンスのインポートに使用されます。RIS データタグ「AU」にマップされます。\n$Authors はリスト型の属性です (古いリリースではセットでした)。これは、v9 以降では Set-type 属性のソートがより積極的になったため、リストがアルファベット順に並べ替えられるのを避けるためです。学術論文の著者が論文の出現順にリストされている場合、これは役に立ちません。著者名が名、姓の順序で入力された場合、デフォルト (設定) のアルファベット順リストでは名が使用されます。\n$Authors がリストである可能性のある重複をパージするには、list.unique 演算子を使用するスタンプを検討してください。\n$Authors = $Authors.unique;\nただし、これによりアルファベット順の並べ替えが必要になることに注意してください。
AutoFetch,boolean,false,Net,Import configuration,,,,1.0.0,Baseline,,,,,,,,"Set the note's $Text to data fetched automatically from the URL in $URL.\nIf true the content is automatically fetched when the note is opened. See more.\nSee also, $AutoFetchCommand.",メモの $Text を、$URL の URL から自動的に取得したデータに設定します。\ntrue の場合、メモを開いたときにコンテンツが自動的に取得されます。もっと見る。\n「$AutoFetchCommand」も参照してください。
AutoFetchCommand,action,(not set - empty string),Net,Import configuration,,,,3.6.0,Baseline,,,,,,,,Action code expression used for post-import processing of $AutoFetch content.\nThe purpose and functioning of $AutoFetchCommand is described in AutoFetch commands.,$AutoFetch コンテンツのインポート後の処理に使用されるアクション コード式。\n$AutoFetchCommand の目的と機能については、AutoFetch コマンドで説明されています。
AutomaticIndent,boolean,true,TextFormat,Note text,true,,,5.0.0,Baseline,,,,,,,,"Controls automatic indentation of lists in pre-v6 text windows. \nDEPRECATED: This feature is superseded by v6+'s standard list formatting and the attribute is not present in any TBX created using v6.0+. It is retained for v5 & older compatibility only. The information below applies only to pre-v6 versions.\nIt defaults to true as inherited from the Text preference ""Auto-indent lists"".\nIf a note's $AutomaticIndent is false Tinderbox will not automatically indent paragraphs starting with *, •, and #. This effectively disables quick lists without needing to turn off all export formatting to do so. This is useful, for example, in notes that contain CSS stylesheets that can have lines starting with a # for ID style declarations. However, it does not affect list creation during HTML export (see $HTMLMarkupText).\nNOTE: If $AutomaticIndent is turned off in an open note that contains lists in existing $Text, the lists will retain their former indentation. You can undo this by left-indent them with the Shift Left command in the Style menu (cmd-shift=[ ). This is because the attribute tries to respect the user's intent and so does not remove existing indents, it merely prevents (or not) new ones being created automatically. If altering this attribute for an existing note, you should close the note text window before altering the value.",v6 より前のテキスト ウィンドウでのリストの自動インデントを制御します。\n非推奨: この機能は v6 以降の標準リスト形式に置き換えられ、この属性は v6.0 以降を使用して作成された TBX には存在しません。これは、v5 以前との互換性のためにのみ保持されています。以下の情報は、v6 より前のバージョンにのみ適用されます。\nデフォルトは、テキスト設定の「リストの自動インデント」から継承された true です。\nメモの $AutomaticIndent が false の場合、Tinderbox は *、•、# で始まる段落を自動的にインデントしません。これにより、すべてのエクスポート書式設定をオフにする必要がなく、クイック リストが効果的に無効になります。これは、たとえば、ID スタイル宣言の # で始まる行を含めることができる CSS スタイルシートを含むノートで便利です。ただし、HTML エクスポート中のリストの作成には影響しません ($HTMLMarkupText を参照)。\n注: 既存の $Text にリストを含む開いているノートで $AutomaticIndent がオフになっている場合、リストは以前のインデントを保持します。これを元に戻すには、[スタイル] メニューの [左にシフト] コマンド (cmd-shift=[ ) を使用して左インデントします。これは、この属性がユーザーの意図を尊重しようとするため、既存のインデントは削除されず、単に新しいインデントが自動的に作成されるのを阻止する (または阻止しない) ためです。既存のメモのこの属性を変更する場合は、値を変更する前にメモのテキスト ウィンドウを閉じる必要があります。
Badge,string,(not set - empty string),Appearance,Map item badge configuration,,,,4.0.0,Baseline,,,,,,,true,"Name of the badge icon set for the note.\nThe names used in $Badge are case-sensitive. The stored value is the icon name minus the extension, e.g. ""ok"" instead of ""ok.png"". UI elements that list badges omit the icon file's extension in their roll-over tooltip.\nThe badge's name is listed alongside the icon in the Badges pop-up menu. Badges are optionally displayed in Map and Outline Views.\nThe list of default badge names is given on the Badges pop-up menu page and can also be set via the Appearance Inspector ▸ Interior tab, 'Badge' control.\nEmoji and other unicode characters may be used as badges. In place of the badge name, set $Badge to the unicode character to be displayed in the badge area. Best results will generally be obtained with $BadgeSize of 32 or greater.",メモに設定されているバッジアイコンの名前。\n$Badge で使用される名前は大文字と小文字が区別されます。保存される値は、アイコン名から拡張子を除いたものです。「ok.png」ではなく「ok」。バッジをリストする UI 要素では、ロールオーバー ツールチップでアイコン ファイルの拡張子が省略されます。\nバッジの名前は、「バッジ」ポップアップ メニューのアイコンの横に表示されます。バッジは、マップ ビューとアウトライン ビューにオプションで表示されます。\nデフォルトのバッジ名のリストは、[バッジ] ポップアップ メニュー ページに表示されます。また、[外観インスペクター] ▸ [インテリア] タブの [バッジ] コントロールからも設定できます。\n絵文字やその他の Unicode 文字をバッジとして使用できます。バッジ名の代わりに、バッジ領域に表示される Unicode 文字を $Badge に設定します。通常、$BadgeSize が 32 以上の場合に最良の結果が得られます。
BadgeMonochrome,boolean,false,Appearance,Map item badge configuration,,,,6.1.1,Baseline,,,,,,,,"Causes monochrome badges to be rendered better against a dark background.\nWhen true and $Color is dark, the badge artwork will be drawn in sourceOut mode instead of sourceOver. This is useful when using black badges on a dark map background.",モノクロのバッジが暗い背景に対してより適切にレンダリングされます。\ntrue で $Color が dark の場合、バッジのアートワークは、sourceOver ではなく、sourceOut モードで描画されます。これは、暗いマップの背景に黒いバッジを使用する場合に便利です。
BadgeSize,number,(not set - 0),Appearance,Map item badge configuration,,,,6.1.1,Baseline,,,,,,,true,"Sets the size of the badge in map view.\nIf zero (default), the default badge size is used. When setting a value, the number used should be the pixel count aong the badge's edge. Badge icons are square and the default set are 32x32 pixels. Thus setting a value of 16 would show a 32x32 pixel badge at half normal size (16px).\nThe Badge Picker pop-over automatically sets $BadgeSize to 32 when selecting badges from the Avatar family; an even-larger badge may sometimes be desirable.\nThe 'Large' tick-box on the Appearance Inspector ▸ Interior tab, sets this attribute to a value of 64.",マップビューでのバッジのサイズを設定します。\nゼロ (デフォルト) の場合、デフォルトのバッジ サイズが使用されます。値を設定する場合、使用する数値はバッジの端にあるピクセル数である必要があります。バッジ アイコンは正方形で、デフォルトのセットは 32x32 ピクセルです。したがって、値を 16 に設定すると、32x32 ピクセルのバッジが通常の半分のサイズ (16px) で表示されます。\nアバター ファミリからバッジを選択すると、バッジ ピッカーのポップオーバーが $BadgeSize を自動的に 32 に設定します。さらに大きなバッジが望ましい場合もあります。\n[外観インスペクター] ▸ [インテリア] タブの [大] チェックボックスは、この属性の値を 64 に設定します。
Base,number,0.5,Map,Map item general configuration,,,,6.0.0,Baseline,,,,,,,true,"This controls the shape of arrow and leaf shapes.\nIt replaces the deprecated $LeafBase.\nThe valid range is 0-1.\nFor notes whose $Shape employs this setting, the $Base value for the selected note can be altered using the grey dot control to the bottom of the note, in a left-right direction.",これは、矢印と葉の形状を制御します。\nこれは、非推奨の $LeafBase を置き換えます。\n有効な範囲は 0 ～ 1 です。\n$Shape がこの設定を採用しているノートの場合、選択したノートの $Base 値は、ノートの下部にある灰色のドット コントロールを使用して左右方向に変更できます。
BeforeVisit,action,(not set - empty string),Storyspace,Storyspace compatibility,,,,6.3.2,Baseline,,,,,,,,"In Storyspace, an action performed before the reader visits the note.\nThis allows Storyspace, in read mode, this action is evaluated, will be executed before the OnVisit action. If the note has any $Requirements, it will be executed before Requirements are checked. The BeforeVisit action can be convenient for actions required to prepare for Requirement checks.\nThis logic is not tested in Tinderbox.",Storyspace において、読者がノートにアクセスする前に実行されるアクション。\nこれにより、Storyspace が読み取りモードで、このアクションが評価され、OnVisit アクションの前に実行されるようになります。メモに $Requirements がある場合、要件がチェックされる前に実行されます。BeforeVisit アクションは、要件チェックの準備に必要なアクションに便利です。\nこのロジックは Tinderbox ではテストされていません。
Bend,number,0,Map,Map item general configuration,,,,6.2.0,Baseline,,,,,,,true,"This control the degree of bend in the 'leaf' and 'banner' shapes.\nIt replaces $LeafBend which is deprecated.\nThe valid range is -1 to 1.\nFor notes whose $Shape employs this setting, the $Bend value for the selected note can be altered using the black dot control to the right of the note.",これは、「リーフ」と「バナー」の形状の曲がりの度合いを制御します。\nこれは、非推奨になった $LeafBend を置き換えます。\n有効な範囲は -1 ～ 1 です。\n$Shape がこの設定を採用しているノートの場合、選択したノートの $Bend 値は、ノートの右側にある黒い点コントロールを使用して変更できます。
BookTitle,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'T2'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「T2」にマップします。
Border,number,1,Appearance,Map item border configuration,,,,2.3.0,Baseline,,,,,,,true,"The size (width) of the border drawn around adornments, notes, agents and containers.\nIf $Border is 0 (zero), no border is drawn, regardless of the $BorderBevel type.\n$Border can be set—to a limited number of preset values—via the Appearance Inspector ▸ Border tabs's 'Width' control.",装飾品、メモ、エージェント、コンテナの周囲に描かれる境界線のサイズ (幅)。\n$Border が 0 (ゼロ) の場合、$BorderBevel タイプに関係なく、境界線は描画されません。\n$Border は、[外観インスペクター] ▸ [境界線] タブの [幅] コントロールを使用して、限られた数のプリセット値に設定できます。
BorderBevel,string,plain,Appearance,Map item border configuration,,,,2.3.0,Baseline,,,,,,,true,"Styles the corder around map icons.\nFor adornments and items (notes, agents, containers), if $Border is greater than zero, a border is drawn around the object in a style depending on this attribute's value.\nIn adornments, if $BorderBevel is raised, the border is bevelled. If automatic or plain the border is drawn as a simple outline. If $BorderBevel is none, the border is not drawn; note, though, that if $Border is greater than zero, space the width of $Border is left around the main part of the icon.\nIn notes, if $BorderBevel is raised or automatic the border is bevelled. If plain, it is a simple outline. If $BorderBevel is none, the border is not drawn.\n$BorderBevel can be set via the Appearance Inspector ▸ Border tab's 'Style' control.",地図アイコンの周りのコーダーのスタイルを設定します。\n装飾品とアイテム (メモ、エージェント、コンテナ) の場合、$Border が 0 より大きい場合、この属性の値に応じたスタイルでオブジェクトの周囲に境界線が描画されます。\n装飾品では、$BorderBevel が上げられると、境界線が面取りされます。自動または無地の場合、境界線は単純な輪郭として描画されます。$BorderBevel が none の場合、境界線は描画されません。ただし、$Border が 0 より大きい場合は、アイコンの主要部分の周囲に $Border の幅のスペースが残ることに注意してください。\n注では、$BorderBevel が上げられるか自動の場合、境界線は面取りされます。無地ならシンプルなアウトラインです。$BorderBevel が none の場合、境界線は描画されません。\n$BorderBevel は、[外観インスペクター] ▸ [境界線] タブの [スタイル] コントロールを介して設定できます。
BorderColor,color,automatic,Appearance,Map item border configuration,,,,2.3.0,Baseline,,,,,,,true,"If $Border is greater than zero, a border is drawn around the adornment in this colour.\nThe special value, ""automatic"", draws an opaque border in the adornment's natural colour; adornments are otherwise translucent.\nIf $BorderColor is ""automatic"" and $BorderBevel is ""plain"", the colour is a mixture of the note's $Color and its $NameColor. In older versions, the border was drawn in the note's $Color, and so was invisible. $NameColor was chosen because it typically contrasts with $Color, where $AccentColor, the accent colour, might be very close in value to $Color.\n$BorderColor can be set via the Appearance Inspector ▸ Border tab's 'Color' control.","$Border がゼロより大きい場合、装飾の周囲にこの色で境界線が描画されます。\n特別な値「自動」は、装飾品の自然な色で不透明な境界線を描画します。それ以外の場合、装飾品は半透明です。\n$BorderColor が ""automatic"" で $BorderBevel が ""plain"" の場合、色はメモの $Color と $NameColor の混合になります。古いバージョンでは、境界線はノートの $Color で描画されていたため、非表示でした。$NameColor が選択された理由は、通常、アクセント カラーである $AccentColor の値が $Color に非常に近いため、$Color と対照的であるためです。\n$BorderColor は、[外観インスペクター] ▸ [境界線] タブの [色] コントロールを介して設定できます。"
BorderDash,number,(not set - 0),Appearance,Map item border configuration,,,,5.0.0,Baseline,,,,,,,true,"Display borders of map icons as a dashed line.\nOnly dawn if the $BorderBevel type is 'plain'. This attribute holds the pixel length of the dash; the width of the dashed line is the $Border width.\nA $BorderDash value of 5 means a pattern of a 5-pixel long section of border then a 5-pixel section with no border, i.e. a 10-pixel repeating pattern.\n$BorderBevel can be set via the Appearance Inspector ▸ Border tab's 'Dash' control to a single preset value.",地図アイコンの境界線を破線で表示します。\n$BorderBevel タイプが 'plain' の場合のみ夜明けになります。この属性はダッシュのピクセル長を保持します。破線の幅は $Border 幅です。\n$BorderDash 値 5 は、境界線の 5 ピクセルの長さのセクションと、境界線のない 5 ピクセルのセクションのパターン、つまり 10 ピクセルの繰り返しパターンを意味します。\n$BorderBevel は、[外観インスペクター] ▸ [境界線] タブの [ダッシュ] コントロールを介して、単一のプリセット値に設定できます。
CallNumber,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'CN'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「CN」にマップします。
Caption,string,(not set - empty string),General,Map item caption configuration,,,,6.0.0,Baseline,,,,,,,true,"The optional caption text drawn beneath map note icons.\n$Caption can be set via the Text Inspector ▸ Caption tab, 'Caption' text box.",マップ メモ アイコンの下に描画されるオプションのキャプション テキスト。\n$Caption は、テキスト インスペクター ▸ キャプション タブの [キャプション] テキスト ボックスで設定できます。
CaptionAlignment,string,left,Appearance,Map item caption configuration,,,,6.0.0,Baseline,,,,,,,true,"The alignment of $Caption text.\n$CaptionAlignment can be set via the Text Inspector ▸ Caption tab, 'Alignment' control.",$Caption テキストの配置。\n$CaptionAlignment は、[テキスト インスペクター] ▸ [キャプション] タブの [配置] コントロールで設定できます。
CaptionColor,color,blue,Appearance,Map item caption configuration,,,,6.0.0,Baseline,,,,,,,true,"The colour used to drawn the $Caption.\n$CaptionAlignment can be set via the Text Inspector ▸ Caption tab, 'Color' controls.",$Caption の描画に使用される色。\n$Caption の配置は、[テキスト インスペクター] ▸ [キャプション] タブの [カラー] コントロールで設定できます。
CaptionFont,font,SketchnoteSquare,Appearance,Map item caption configuration,,,,6.0.0,Baseline,,,,,,,true,"Font used to draw $Caption text.\n$CaptionFont can be set via Get Info ▸ attributes tab, Appearance group. Click the 'A' symbol to open the OS Fonts palette and select the desired font.",$Caption テキストの描画に使用されるフォント。\n$CaptionFont は、[情報を取得] ▸ [属性] タブの [外観] グループで設定できます。「A」記号をクリックして OS フォント パレットを開き、目的のフォントを選択します。
CaptionOpacity,number,1,Appearance,Map item caption configuration,,,,6.0.0,Baseline,,,,,,,true,"The opacity used to draw the $Caption.\n$CaptionAlignment can be set via the Text Inspector ▸ Caption tab, 'Opacity' control.\nThe allowed range of values is 0–1. Prior to v9.7.0, the range was 0–100 but this was changed—see more.",$Caption の描画に使用される不透明度。\n$CaptionAlignment は、[テキスト インスペクター] ▸ [キャプション] タブの [不透明度] コントロールで設定できます。\n値の許容範囲は 0 ～ 1 です。v9.7.0 より前では、範囲は 0 ～ 100 でしたが、これは変更されました。詳細を参照してください。
CaptionSize,number,100,Appearance,Map item caption configuration,,,,6.0.0,Baseline,,,,,,,true,"$Caption size is set as a relative percentage of $TextFontSize.\nDefault is 100 (%).\n$CaptionSize can be set via the Text Inspector ▸ Caption tab, 'Size' slider control",$Caption サイズは、$TextFontSize の相対的なパーセンテージとして設定されます。\nデフォルトは 100 (%) です。\n$CaptionSize は、テキスト インスペクター ▸ キャプション タブの「サイズ」スライダー コントロールで設定できます。
Checked,boolean,false,General,General data,,,,5.0.0,Baseline,,,,,,,true,"Tick state of the optional Outline view checkbox.\nChanging the attribute will add/remove a tick from the note's checkbox; a tick is shown when the value is true.\nIf displayed in Outline view, via View menu ▸ 'Use Checkboxes'",オプションのアウトライン ビュー チェックボックスの状態にチェックを入れます。\n属性を変更すると、メモのチェックボックスにチェックマークが追加または削除されます。値が true の場合、チェックマークが表示されます。\nアウトライン ビューで表示されている場合は、[表示] メニュー ▸ [チェックボックスを使用] を選択します。
