Name,Text,TextJa
adorments,"The designator adornments returns all the adornments that are contained inside the current note, i.e. this container's child map. The data is returned as a List of the adornments' in ascending $OutlineOrder.\nSiblings vs. children\nFor any given map, in terms of $OutlineDepth/$OutlineOrder, notes on the map are siblings of the maps' adornment(s). However, for adornments any adornments are for the addressed item's child map. If the logic seems odd, bear in mind that a map (timeline, etc.) is normally addressed in terms of its enclosing—and thus parent–container.\nThus, for an item on a map to get its sibling adornments use either of these relative references, use either:\n	$MyList = $Name(adornments(parent)) \n	$MyList = $Name(adornments(..)) \nnoting that .. is the unix term for the parent folder. For most Tinderbox users, who aren't familiar with Unix structures, the parent designator as the offset address argument is the most sensible to use.\nTitle vs. ID and action code\nWhen using a large number of adornments, e.g. to set out a time or date grid, many of the individual adornments may not have a unique $Name. For instance if there is an adornment '10' mapping the first 10 minutes of an hour, there may be multiple adornments on the same map with the same $Name and $Path. Recall that when accessing a note via a not unique title/path, Tinderbox always matches the first match by $OutlineOrder, even when processing a list. In other words, processing a list of $Name values with multiple '10' values, the action will act on the same, first match target, every time.\n$ID offers a sensible workaround, not least because within the action code context the use of item titles ($Name) is a convenience. If you want to process a list of adornments for whatever ever reason it may therefore make sense to use their $ID instead as this will always be unique. For example:\n	$MyList = $ID(adornments) → a list of child adornment IDs\n	$MyList = $Name(adornments(parent)) → a list of sibling adornment IDs",指定子の装飾は、現在のノート (つまり、このコンテナの子マップ) 内に含まれるすべての装飾を返します。データは、装飾品のリストとして昇順の $OutlineOrder として返されます。\n兄弟対子供\n任意のマップについて、$OutlineDepth/$OutlineOrder に関して、マップ上のメモはマップの装飾の兄弟です。ただし、装飾品の場合、すべての装飾品はアド​​レス指定された項目の子マップ用です。ロジックが奇妙に見える場合は、マップ (タイムラインなど) は通常、それを囲むコンテナ、つまり親コンテナの観点から扱われることに留意してください。\nしたがって、マップ上のアイテムがその兄弟装飾を取得するには、次のいずれかの相対参照を使用します。\n$MyList = $Name(装飾品(親))\n$MyList = $Name(装飾品(..))\n.. は親フォルダーを表す UNIX 用語であることに注意してください。Unix 構造に詳しくないほとんどの Tinderbox ユーザーにとって、オフセット アドレス引数として親指定子を使用するのが最も賢明です。\nタイトルと ID およびアクション コードの比較\n多数の装飾品を使用する場合。時間や日付のグリッドを設定する場合、個々の装飾品の多くは一意の $Name を持たない場合があります。たとえば、1 時間の最初の 10 分をマッピングする装飾「10」がある場合、同じ $Name と $Path を持つ同じマップ上に複数の装飾が存在する可能性があります。一意ではないタイトル/パスを介してメモにアクセスする場合、リストを処理する場合でも、Tinderbox は常に $OutlineOrder によって最初に一致するものと一致することを思い出してください。つまり、複数の「10」値を含む $Name 値のリストを処理すると、アクションは毎回、最初に一致した同じターゲットに対して動作します。\n$ID は、特にアクション コードのコンテキスト内で項目タイトル ($Name) を使用すると便利であるため、賢明な回避策を提供します。したがって、何らかの理由で装飾品のリストを処理したい場合は、$ID が常に一意であるため、代わりに $ID を使用するのが合理的です。たとえば:\n$MyList = $ID(装飾品) → 子装飾品 ID のリスト\n$MyList = $Name(adornments(parent)) → 兄弟装飾品 ID のリスト
all,"The designator all describes all notes in the current TBX. 'all' is assumed as a value by some group-based operators if no explicit group name is supplied. The returned List is all items ordered by ascending $OutlineOrder value.\nIt appears all is explicitly supported for group-based work in actions & rules, but not for group-based export codes.",指定子 all は、現在の TBX 内のすべてのノートを表します。明示的なグループ名が指定されていない場合、一部のグループベースの演算子では値として「all」が想定されます。返されるリストは、$OutlineOrder 値の昇順で並べられたすべての項目です。\nアクションとルールのグループベースの作業についてはすべて明示的にサポートされているようですが、グループベースのエクスポート コードについてはサポートされていないようです。
ancestors,"The designator ancestors returns a List of all notes in a direct line of ascent from the current note to its root-level container and so the List is returned in descending $OutlineOrder.\nAs the list of ancestors is returned in reverse order, i.e. deepest nested first and root item last. So:\n	$MyString = collect(ancestors,$Path)[-1]; is the root-level container for this note\n	$MyString = collect(ancestors,$Path)[0]; is the parent container for this note","指定子の祖先は、現在のノートからそのルートレベルのコンテナへの上昇の直線にあるすべてのノートのリストを返すため、リストは降順の $OutlineOrder で返されます。\n祖先のリストは逆の順序で返されるため、つまり、最も深いネストが最初に、ルート項目が最後に返されます。それで:\n$MyString = 収集(祖先,$Path)[-1];このメモのルートレベルのコンテナです\n$MyString =collect(ancestors,$Path)[0];このメモの親コンテナです"
children,"The designator children describes any direct child of the current note. The List returned gives all immediate children sorted in ascending $OutlineOrder.\nThis designator removes the contextual ambiguity of older usage of 'child' for both group and item scope usage. By comparison the child designator is always assumed to apply to item scope (i.e. one referenced container only).\nAs designators ignore map adornments, a container note with just adornments on it but child notes with evaluate as having a $ChildCount (the number of adornments) but no children (the number of notes).",指定子 Children は、現在のノートの直接の子を表します。返される List には、$OutlineOrder の昇順で並べ替えられたすべての直接の子が表示されます。\nこの指定子により、グループと項目の両方のスコープの使用法における「子」の古い使用法にあった文脈上の曖昧さが解消されます。比較すると、子指定子は常に項目スコープ (つまり、参照される 1 つのコンテナのみ) に適用されると想定されます。\nデジグネータはマップ装飾を無視するため、装飾のみを含むコンテナ ノートと子ノートは $ChildCount (装飾の数) を持つが、子 (ノートの数) は持たないと評価されます。
descendants,"The designator descendants describes all direct and indirect children of the current note, i.e. all those for whom the current note is an ancestor.\nThe list returned is all descendants is in ascending $OutlineOrder, i.e. as you would see in Outline view with all containers expanded and then reading the order vertically",指定子の子孫は、現在のノートのすべての直接的および間接的な子、つまり現在のノートが祖先であるすべての子を表します。\n返されるリストは、すべての子孫が昇順の $OutlineOrder にあります。つまり、すべてのコンテナーが展開されたアウトライン ビューで順序が垂直に読み取られるのと同じです。
find,"Using a suitable query, find() can be used as a special item or group designator. The function returns a List of the $Path value for every matching note. The likely order of the returned items is $OutlineOrder ascending but it cannot be assumed. If sort order matters apply and explicit sort operation before further use.\nIn an item-scope context, care should be taken in constructing the query so that only one note is matched.",適切なクエリを使用すると、find() を特別な項目またはグループ指定子として使用できます。この関数は、一致するすべての音符の $Path 値のリストを返します。返されるアイテムの順序はおそらく $OutlineOrder の昇順ですが、これを仮定することはできません。ソート順序が重要な場合は、さらに使用する前に明示的なソート操作を適用してください。\n項目スコープのコンテキストでは、1 つのメモのみが一致するようにクエリを構築する際に注意する必要があります。
siblings,"The designator siblings describes all notes at the same outline level as the current note that share a common parent. This includes the current note.  The returned List is in ascending $OutlineOrder.\nThus for a note with three sibling notes, siblings will be a list of four items (i.e. this note and all its siblings).",指定子の兄弟は、共通の親を共有する現在のノートと同じアウトライン レベルにあるすべてのノートを記述します。これには現在のメモも含まれます。返されるリストは $OutlineOrder の昇順です。\nしたがって、3 つの兄弟ノートを持つノートの場合、兄弟は 4 つの項目 (つまり、このノートとそのすべての兄弟) のリストになります。
destination,"Used (only) by export codes that create link lists and action code links(), and by OnLink actions.\nThe designator destination refers to the note to which the exported links will point. This object allows users to access data generically from the destination of the link.\nSee also: source.\nFor example,\nbasicLinks(&lt;ul>,&lt;li>,"" : (modified value($Modified(destination)))&lt;/li>"",&lt;/ul>) \nwill export a list of links, each destination note's Name followed by followed by the modification time for the link's destination. Note this designator cannot be used with value and attribute references.\nNote that the designator can be used in the link export code's item prefix and/or suffix arguments but this designator cannot be used with value and attribute references. Meanwhile, the link's anchor text always remains the $Name (i.e. title) of the link's destination note, linked to that note's page's URL.","リンク リストとアクション コード links() を作成するエクスポート コード、および OnLink アクションによって (のみ) 使用されます。\n指定子の宛先は、エクスポートされたリンクが指すメモを指します。このオブジェクトにより、ユーザーはリンク先から一般的にデータにアクセスできるようになります。\nソースも参照してください。\nたとえば、\nBasicLinks(<ul>,<li>,"" : (変更された値($Modified(宛先)))</li>"",</ul>)\nリンクのリストをエクスポートします。各宛先ノートの名前の後に、リンクの宛先の変更時刻が続きます。この指定子は、値および属性の参照では使用できないことに注意してください。\n指定子はリンク エクスポート コードの項目プレフィックスおよび/またはサフィックス引数で使用できますが、この指定子は値および属性参照では使用できないことに注意してください。一方、リンクのアンカー テキストは常に、リンク先のノートの $Name (つまりタイトル) のままであり、そのノートのページの URL にリンクされます。"
source,"Used (only) by export codes that create link lists and action code links(), and by OnLink actions.\nThe designator source refers to the note from which the exported links will arise. In most (all?) cases this equates to both this and current, so the object 'source' makes it easier for the user to specify generically from where data is drawn.\nSee also: destination.\nFor example,\nbasicLinks(""&lt;ul>"",""&lt;li>value($Name(source)) =&gt; "",""&lt;/li>"",""&lt;/ul>"") \nwill export a list of links, each destination note's Name preceded by the source note's name and a =&gt; pointing to the destination note's name.\nNote that the designator can be used in the link export code's item prefix and/or suffix arguments but this designator cannot be used with value and attribute references. Meanwhile, the link's anchor text always remains the Name (i.e. title) of the link's destination note, linked to that note's page's URL.","リンク リストとアクション コード links() を作成するエクスポート コード、および OnLink アクションによって (のみ) 使用されます。\n指定子のソースは、エクスポートされたリンクの元となるメモを参照します。ほとんど (すべて?) の場合、これは this と current の両方に相当するため、オブジェクト「source」を使用すると、ユーザーはデータの抽出元を一般的に指定しやすくなります。\n「目的地」も参照してください。\nたとえば、\nBasicLinks(""<ul>"",""<li>value($Name(source)) =>"",""</li>"",""</ul>"")\nリンクのリスト、各宛先ノートの名前の前にソースノートの名前と =&gt; がエクスポートされます。宛先ノートの名前を指します。\n指定子はリンク エクスポート コードの項目プレフィックスおよび/またはサフィックス引数で使用できますが、この指定子は値および属性参照では使用できないことに注意してください。一方、リンクのアンカー テキストは常に、リンク先のノートの名前 (つまり、タイトル) のままとなり、そのノートのページの URL にリンクされます。"
document,The document designator refers to the overall TBX document. Used with word cloud exports.,文書指定子は、TBX 文書全体を指します。ワード クラウド エクスポートで使用されます。
my,"The my designator is used in action code in the context of composites, specifically when referring to the composite containing the note using the code, i.e. this note.\nmy can be used as a short form of compositeFor(this) when using with colon-operators used (only) with composites. For example, the pair of examples below have the same functional effect:\n	compositeFor(this):role(""someRole"") \n	my:role(""someRole"") \nThus the use of 'my' makes for more compact code; it has no effect on performance.\nIf using compositeFor() in an any other context, e.g. a composite of which the current note is not a member then the 'my' designator can not be used.","my 指定子は、コンポジットのコンテキストでアクション コード内で使用されます。特に、コードを使用してノート (つまり、このノート) を含むコンポジットを参照する場合に使用されます。\nmy は、コンポジットで (のみ) 使用されるコロン演算子と一緒に使用する場合、compositeFor(this) の短縮形として使用できます。たとえば、以下の 2 つの例には同じ機能的効果があります。\n複合対象(この):role(""someRole"")\nmy:role(""ある役割"")\nしたがって、「my」を使用するとコードがよりコンパクトになります。パフォーマンスには影響しません。\n他のコンテキストで complexFor() を使用する場合。現在のノートがメンバーではないコンポジットの場合、「my」指定子は使用できません。"
