Name,Text,TextJa
"^do( theMacro [,argument, anotherArgument, etc.] )^","^^do(theMacro)^^\nAllows you to use macros in HTML (and XML) export, where theMacro is a macro you have defined in Tinderbox.\n^^do(theMacro [,argument, anotherArgument])^^\nAllows you to use macros in HTML (and XML) export, where theMacro is a macro you have defined in Tinderbox; and argument and anotherArgument are additional arguments that can be passed to the macro.\nThere are no limits, within sensible reason, to the number of arguments that may be supplied.\nRead about macros for usage details.\nInternally, the do() operator may be used.\nUnlike do(), and specifically in the context of export, ^^do^^ will evaluate inline export code within the macro's code.\n^^do^^ accepts the theMacro argument as a quoted string (to meet current action code usage for string data).","^^do(マクロ)^^\nHTML (および XML) エクスポートでマクロを使用できるようにします。ここで、Macro は、Tinderbox で定義したマクロです。\n^^do(theMacro [,argument, anotherArgument])^^\nHTML (および XML) エクスポートでマクロを使用できるようにします。ここで、Macro は Tinderbox で定義したマクロです。and argument と anotherArgument は、マクロに渡すことができる追加の引数です。\n合理的な理由の範囲内では、指定できる引数の数に制限はありません。\n使用法の詳細については、マクロについてお読みください。\n内部的には do() 演算子が使用される場合があります。\ndo() とは異なり、特にエクスポートのコンテキストでは、^^do^^ はマクロのコード内のインライン エクスポート コードを評価します。\n^^do^^ は、theMacro 引数を引用符で囲まれた文字列として受け入れます (文字列データに対する現在のアクション コードの使用状況を満たすため)。"
^docTitle^,"^^docTitle^^\nThe name of the Tinderbox document (i.e. the OS filename). The '.tbx' file extension is omitted if present.\nNote that this data cannot be retrieved using action code.\nThe ^^docTitle^^ of this TBX file is: ""^docTitle^"".",^^ドキュメントのタイトル^^\nTinderbox ドキュメントの名前 (つまり、OS ファイル名)。「.tbx」ファイル拡張子は、存在する場合は省略されます。\nこのデータはアクション コードを使用して取得できないことに注意してください。\nこの TBX ファイルの ^^docTitle^^ は、「^docTitle^」です。
^documentCloud( [count] )^,"^^documentCloud( [count] )^^\nThis provides an HTML interface to the information displayed in the Get Info dialog's words tab. Here the scope is the whole TBX document. It displays the 100 most common words in the note, omitting stop words (there may be fewer words if there are fewer valid words in scope). The words are wrapped in  tags to permit the most common words to be displayed in a larger font; the tags used may be customised through the new attributes HTMLCloud1Start/End, HTMLCloud2Start/End, etc.\n^^documentCloud^^ takes one optional arguments:\n* count. This specifies the maximum number of common words to be displayed.\nExamples:\n	^^documentCloud^^ \n	^^documentCloud(50)^^ \nSee also ^^cloud^^, ^^sectionCloud^^ \nBelow is the output from ^^documentCloud(25)^^. Note that ideally it should be placed in some form of HTML container rather than be allowed to spread across the page otherwise the visual impact is lost. Here anyway is the ^^documentCloud(25)^^ 'raw' output:\n^documentCloud(25)^",^^documentCloud( [カウント] )^^\nこれにより、「情報を見る」ダイアログの「単語」タブに表示される情報への HTML インターフェイスが提供されます。ここでのスコープは TBX ドキュメント全体です。メモ内の最も一般的な 100 個の単語が表示され、ストップ ワードは省略されます (範囲内の有効な単語が少ない場合は、単語の数が少なくなる可能性があります)。最も一般的な単語を大きなフォントで表示できるように、単語はタグで囲まれています。使用されるタグは、新しい属性 HTMLCloud1Start/End、HTMLCloud2Start/End などを使用してカスタマイズできます。\n^^documentCloud^^ は、オプションの引数を 1 つ受け取ります。\n* 数えます。表示する一般的な単語の最大数を指定します。\n例:\n^^ドキュメントクラウド^^\n^^ドキュメントクラウド(50)^^\n「^^クラウド^^」、「^^セクションクラウド^^」も参照してください。\n以下は ^^documentCloud(25)^^ からの出力です。理想的には、ページ全体に分散させるのではなく、何らかの形式の HTML コンテナーに配置する必要があることに注意してください。そうしないと、視覚的なインパクトが失われます。とにかく、ここに ^^documentCloud(25)^^ '生' 出力を示します。\n^ドキュメントクラウド(25)^
^else^,"^^else^^\nIf the condition specified in ^^if( condition )^^ is not true, then export everything from the ^^else^^ statement to the ^^endif^^.\nThus:\n	^^if($Width>5)^^The $Width is greater than 5.^^else^^The $Width is 5.0 or less.^^endIf^^ \n…which, depending on the outcome exports out either the string ""The $Width is greater than 5."" or the string ""The $Width is 5.0 or less.""\nNote there is no extended branching form, such as an 'else if' method. For that, nest further ^^if()^^ tests in the negative result branch (i.e. after the ^^else^^).",^if^タグの条件が偽（false）だった場合に書き出すブロックを開始します。
^endIf^,^^endIf^^\nIndicates the end of the alternatives indicated by the ^^if( condition)^^ statement. This closing statement is not mandatory if there is no ^^else^^ branch to the resulting actions. Thus the following are acceptable alternatives:\n	^^if(condition)^^do stuff[end of template line auto-closes code] \n	^^if(condition)^^do stuff^^endIf^^ \nFor the next test a closing ^^endIf^^ is mandatory:\n	^^if(condition)^^do stuff^^else^^do other stuff^^endIf^^,^if^ブロックの終了を示します。
^file( item )^,"^^file( item )^^\nThe filename of the file for the web page for an item (i.e. note). This is the combination of $HTMLExportFileName plus $HTMLExportExtension. If no item is supplied, it defaults to value of 'this'. If HTMLExportFileName is not manually set it is created dynamically at export from $Name, with the filename varying according to the length set in $HTMLFileNameMaxLength (for aTbRef it is currently set to: ^value($HTMLFileNameMaxLength)^).\nThe export filename of this note (^^file^^) is: ""^file^"". \nThe export filename of note ""HTMLExportBefore"" (^^file(HTMLExportBefore)^^) is: ""^file(HTMLExportBefore)^"". \nBut see that '^^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^^' gives: '^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^' ← note the missing filename! The latter problem occurs as $HTMLExportFileName is not evaluated until export.","^^ファイル(アイテム)^^\nアイテム (メモなど) の Web ページのファイルのファイル名。これは、$HTMLExportFileName と $HTMLExportExtension の組み合わせです。項目が指定されていない場合は、デフォルトの値「this」が使用されます。HTMLExportFileName が手動で設定されていない場合、$Name からのエクスポート時に動的に作成され、ファイル名は $HTMLFileNameMaxLength に設定された長さに応じて変化します (aTbRef の場合、現在は ^value($HTMLFileNameMaxLength)^ に設定されています)。\nこのメモ (^^file^^) のエクスポート ファイル名は、「^file^」です。\n注記「HTMLExportBefore」(^^file(HTMLExportBefore)^^) のエクスポート ファイル名は「^file(HTMLExportBefore)^」です。\nただし、'^^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^^' は次のようになります: '^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^' ← ファイル名が欠落していることに注意してください。後者の問題は、$HTMLExportFileName がエクスポートされるまで評価されないために発生します。"
^host^,"^^host^^\nThe host of the site of this web page. This is derived from the URL (Web server) setting in the HTML pane of document Preferences. \nThe ^^host^^ value for this TBX file is: ""^host^"" (i.e. nothing). In this document it is not defined but were it defined for the site's normal domain it would return ""https://atbref.com""",^^ホスト^^\nこの Web ページのサイトのホスト。これは、ドキュメントの環境設定の HTML ペインの URL (Web サーバー) 設定から派生します。\nこの TBX ファイルの ^^host^^ 値は、「^host^」 (つまり、何もありません) です。このドキュメントでは定義されていませんが、サイトの通常のドメインに対して定義されている場合は、「https://atbref.com」が返されます。
^if( condition )^,"^^if( condition )^^\n^^if( condition )^^ ^^endIf^^\n^^if( condition )^^ ^^else^^ ^^endIf^^\nTest the condition, resolving to a true or false result:\n* if the condition is true, then include everything from the ^^if()^^ statement to the next ^^else^^ or the next ^^endif^^. \n* if the condition is false, then include nothing, or if an ^^else^^ branch is offered, include everything after the next ^^else^^ statement up to the next ^^end^^.\nThough an ^^endIf^^ closing marker is not mandatory, users—especially if new to export code—are advised to add one as it gives more clarity as to the end of the output of a true match to condition. If the ^^else^^/^^endIf^^ mark-up is omitted the text following the closing )^^ of the if tag of the condition is returned up to the end of the current line/paragraph (i.e. up to the next line break in the template source code).\nUnlike in very early versions of the app—e.g. in old examples, the condition statement is a query written in action code (essentially the same syntax as if writing an if() action test. For example, \n	^^if($Name.contains(""tbx""))^^Matched 'tbx' string.^^endIf^^ \n…is true if the note's title contains the string ""tbx"", and exports the string ""Matched 'tbx' string."". For a reversed test:\n	^^if(!$Name.contains(""tbx""))^^No matched 'tbx' string.^^endIf^^ \n…is true if the note's title does not contain the string ""tbx"", and exports the string ""No matched 'tbx' string."". For a numerical test:\n	^^if($Width>5)^^The $Width is greater than 5.^^endIf^^ \n…is true if the note's width exceeds 5.0 and exports out the string ""The $Width is greater than 5.""\nFor the first two examples above the value matched can be an actual string or a regular expression.\nUsing an ^^else^^ logic branch, different information can be exported for true and for false condition matches. Thus:\n	^^if($Width>5)^^The $Width is greater than 5.^^else^^The $Width is 5.0 or less.^^endIf^^ \n…which, depending on the outcome exports out either the string ""The $Width is greater than 5."" or the string ""The $Width is 5.0 or less.""\nIn the ^^if^^ condition, the condition query is always evaluated in the context of this note.\nNote there is no extended branching form, such as an 'else if' method. For that, nest further ^^if()^^ tests in the negative result branch (i.e. after the ^^else^^).",指定された条件（アクションコード式のクエリ）を評価します。真（true）の場合、その後のコード（または^else^まで）が書き出されます。
"^inboundBasicLinks( [start, list-item-prefix, list-item-suffix, end, type] )^","^^inboundBasicLinks( [""start"", ""list-item-prefix"", ""list-item-suffix"", ""end"", ""type""] )^^\nreturns all of the notes that have a basic (note-level) link to the current note, formatted as an unordered list, excluding prototype links.\nThe optional arguments allow you to format the group of links as an HTML list or table in the exact format you want, where start is text that will be inserted before all of the links, end is text that will be inserted after all of the links, list-item-prefix is text that will be inserted before each link, and list-item-suffix is text that will be inserted after each link. The type argument restricts the scope of link inclusion and is discussed separately below. See more on altering list type or other HTML output.\nIf the optional start, list-item-prefix, list-item-suffix, end arguments are omitted then the default values of &lt;ul&gt;, &lt;li&gt;, &lt;/li&gt;, &lt;/ul&gt; are used.\nThe optional fifth argument, type, lets you restrict exported lists to specific link types, as in the named types seen in the TBX's Link Types palette. type my be omitted but if you do wish to use it, the preceding 4 arguments must all be specified. \n For example:\n	^^inboundBasicLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""example"")^^ \nwill list only inbound links of type ""example"". As the type argument is a regular expression, besides specifying a particular link type name, you can specify wildcard characters or lists of eligible link types, etc.\n	^^inboundBasicLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""(example|untitled)"")^^ \nwill list links of the types ""untitled"" and ""example"".\nAlso see ^^inboundLinks^^, ^^inboundTextLinks^^. The logical opposite of this code is ^^outboundBasicLinks^^.\nThis code exports CSS class and target based on their underlying Tinderbox link values, assuming these are actually completed; the link type value is not picked up as a class name.\nIf there is more than one inbound link from the same source, said link is only listed once.\nNew item objects source and destination may be used to indicate from where data used within the arguments is drawn.\nThe export is relative to current rather than this, facilitating work with included files.\nFrom v11.0.0, the operator's list output omits notes that are not exported.","^^inboundBasicLinks( [""開始"", ""リスト項目プレフィックス"", ""リスト項目サフィックス"", ""終了"", ""タイプ""] )^^\n現在のノートへの基本的な (ノート レベルの) リンクを持つすべてのノートを、プロトタイプ リンクを除き、順序なしリストとしてフォーマットして返します。\nオプションの引数を使用すると、リンクのグループを希望どおりの形式の HTML リストまたはテーブルとして書式設定できます。start はすべてのリンクの前に挿入されるテキスト、end はすべてのリンクの後に挿入されるテキスト、list-item-prefix は各リンクの前に挿入されるテキスト、list-item-suffix は各リンクの後に挿入されるテキストです。type 引数は、リンクを含める範囲を制限します。これについては、以下で個別に説明します。リスト タイプまたはその他の HTML 出力の変更の詳細を参照してください。\nオプションの start、list-item-prefix、list-item-suffix、end 引数が省略された場合、デフォルト値の &lt;ul&gt;、&lt;li&gt;、&lt;/li&gt;、&lt;/ul&gt; が使用されます。が使用されています。\nオプションの 5 番目の引数 type を使用すると、TBX のリンク タイプ パレットに表示される名前付きタイプのように、エクスポートされるリストを特定のリンク タイプに制限できます。type は省略できますが、これを使用したい場合は、前述の 4 つの引数をすべて指定する必要があります。\nたとえば:\n^^inboundBasicLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""example"")^^\n「example」タイプのインバウンドリンクのみをリストします。type 引数は正規表現であるため、特定のリンク タイプ名を指定するほかに、ワイルドカード文字や適格なリンク タイプのリストなどを指定できます。\n^^inboundBasicLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""(example|untitled)"")^^\n「無題」および「例」タイプのリンクがリストされます。\n「^^inboundLinks^^」、「^^inboundTextLinks^^」も参照してください。このコードの論理的に反対のコードは ^^outboundBasicLinks^^ です。\nこのコードは、基礎となる Tinderbox リンク値に基づいて CSS クラスとターゲットをエクスポートします。これらが実際に完了していると仮定します。リンク タイプの値はクラス名として選択されません。\n同じソースからのインバウンドリンクが複数ある場合、そのリンクは 1 回だけリストされます。\n新しい項目オブジェクトのソースと宛先は、引数内で使用されるデータがどこから取り出されるかを示すために使用できます。\nエクスポートはこれではなく現在に相対的なものであるため、含まれているファイルの作業が容易になります。\nv11.0.0 以降、オペレーターのリスト出力では、エクスポートされないメモが省略されます。"
"^inboundLinks( [start, list-item-prefix, list-item-suffix, end] )^","^^inboundLinks( [""start"", ""list-item-prefix"", ""list-item-suffix"", ""end""] )^^\nreturns all of the notes that have basic links to the current note, formatted as an unordered list, except prototype links. The logical counterpart of this code is ^^outboundLinks^^. This code does not include inbound text links; unlike the case with ^^basicLinks^^ (where such links are in the body text and arguable already 'listed'), there is no method to include inbound text links in the overall inbound link list. There is no single code to list all inbound links.\nIf the optional start, list-item-prefix, list-item-suffix, end arguments are omitted then the default values of &lt;ul&gt;, &lt;li&gt;, &lt;/li&gt;, &lt;/ul&gt; are used.\nThis allows you to format the group of links as an HTML list or table in the exact format you want, where ""start"" is quoted text that will be inserted before all of the links, ""end"" is text that will be inserted after all of the links, ""list-item-prefix"" is text that will be inserted before each link, and ""list-item-suffix"" is text that will be inserted after each link. See more on altering list type or other HTML output.\nMark-up elements embedded in ^^inboundLinks^^ are evaluated.\nExported links use the CSS class and target based on their underlying Tinderbox link values, if one is specified; the link type value is not picked up as a class name.\nNote that unlike other link in/outbound link codes this code and ^^outboundLinks^^ do not offer an option link type filter.\nItem objects source and destination may be used in expressions to indicate from where data used within the expression's arguments is drawn.\nOriginals and aliases export their own basic links (i.e. aliases can differ), but if an alias has no in/outbound basic links it will export those of the original.\nAlso see ^^inboundBasicLinks^^, ^^inboundTextLinks^^.\nThe export is relative to current rather than this, facilitating work with included files.\nFrom v11.0.0, the operator's list output omits notes that are not exported.","^^inboundLinks( [""開始"", ""リスト項目プレフィックス"", ""リスト項目サフィックス"", ""終了""] )^^\n現在のノートへの基本リンクを持つすべてのノートを、プロトタイプ リンクを除き、順序なしリストとしてフォーマットして返します。このコードの論理的な対応物は ^^outboundLinks^^ です。このコードには受信テキスト リンクは含まれません。^^basicLinks^^ の場合 (そのようなリンクが本文中にあり、既に「リストされている」と議論できる場合) とは異なり、受信テキスト リンクを全体の受信リンク リストに含める方法はありません。すべてのインバウンドリンクをリストする単一のコードはありません。\nオプションの start、list-item-prefix、list-item-suffix、end 引数が省略された場合、デフォルト値の &lt;ul&gt;、&lt;li&gt;、&lt;/li&gt;、&lt;/ul&gt; が使用されます。が使用されています。\nこれにより、リンクのグループを希望する正確な形式の HTML リストまたはテーブルとして書式設定できます。ここで、「start」はすべてのリンクの前に挿入される引用符で囲まれたテキスト、「end」はすべてのリンクの後に挿入されるテキスト、「list-item-prefix」は各リンクの前に挿入されるテキスト、「list-item-suffix」は各リンクの後に挿入されるテキストです。リスト タイプまたはその他の HTML 出力の変更の詳細を参照してください。\n^^inboundLinks^^ に埋め込まれたマークアップ要素が評価されます。\nエクスポートされたリンクは、基になる Tinderbox リンク値 (指定されている場合) に基づいて CSS クラスとターゲットを使用します。リンク タイプの値はクラス名として選択されません。\n他のリンクイン/アウトバウンドリンクコードとは異なり、このコードと ^^outboundLinks^^ はオプションのリンクタイプフィルターを提供しないことに注意してください。\n項目オブジェクトのソースと宛先を式で使用して、式の引数内で使用されるデータがどこから抽出されるかを示すことができます。\nオリジナルとエイリアスは独自の基本リンクをエクスポートします (つまり、エイリアスは異なる場合があります) が、エイリアスにイン/アウトバウンド基本リンクがない場合は、オリジナルの基本リンクがエクスポートされます。\n「^^inboundBasicLinks^^」、「^^inboundTextLinks^^」も参照してください。\nエクスポートはこれではなく現在に相対的なものであるため、含まれているファイルの作業が容易になります。\nv11.0.0 以降、オペレーターのリスト出力では、エクスポートされないメモが省略されます。"
"^inboundTextLinks( [start, list-item-prefix, list-item-suffix, end, type] )^","^^inboundTextLinks( [""start"", ""list-item-prefix"", ""list-item-suffix"", ""end"", ""type""] )^^\nreturns all of the notes that have a text link (a link anchored in body text) to the current note, formatted as an unordered list, excluding prototype links.\nThe optional arguments allow you to format the group of links as an HTML list or table in the exact format you want, where start is text that will be inserted before all of the links, end is text that will be inserted after all of the links, list-item-prefix is text that will be inserted before each link, and list-item-suffix is text that will be inserted after each link. The type argument restricts the scope of link inclusion and is discussed separately below. See more on altering list type or other HTML output.\nIf the optional start, list-item-prefix, list-item-suffix, end arguments are omitted then the default values of &lt;ul&gt;, &lt;li&gt;, &lt;/li&gt;, &lt;/ul&gt; are used.\nThe optional fifth argument, type, lets you restrict exported lists to specific link types, as in the named types seen in the TBX's Link Types palette. type my be omitted but if you do wish to use it, the preceding 4 arguments must all be specified. For example:\n	^^inboundTextLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""example"")^^ \nwill list only inbound links of type ""example"". As the type argument is a regular expression, besides specifying a particular link type name, you can specify wildcard characters or lists of eligible link types, etc.\n	^^inboundTextLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""(example|untitled)"")^^ \nwill list links of the types ""untitled"" and ""example"".\nAlso see ^^inboundLinks^^, ^^inboundBasicLinks^^. The logical opposite of this code is ^^outboundTextLinks^^.\nThis code exports CSS class and target based on their underlying Tinderbox link values, assuming these are actually completed; the link type value is not picked up as a class name.\nIf there is more than one inbound link from the same source, said link is only listed once.\nNew item objects source and destination may be used to indicate from where data used within the arguments is drawn.\nThe export is relative to current rather than this, facilitating work with included files.\nFrom v11.0.0, the operator's list output omits notes that are not exported.","^^inboundTextLinks( [""開始"", ""リスト項目プレフィックス"", ""リスト項目サフィックス"", ""終了"", ""タイプ""] )^^\n現在のノートへのテキスト リンク (本文にアンカーされたリンク) を持つすべてのノートを、プロトタイプ リンクを除き、順序なしリストとしてフォーマットして返します。\nオプションの引数を使用すると、リンクのグループを希望どおりの形式の HTML リストまたはテーブルとして書式設定できます。start はすべてのリンクの前に挿入されるテキスト、end はすべてのリンクの後に挿入されるテキスト、list-item-prefix は各リンクの前に挿入されるテキスト、list-item-suffix は各リンクの後に挿入されるテキストです。type 引数は、リンクを含める範囲を制限します。これについては、以下で個別に説明します。リスト タイプまたはその他の HTML 出力の変更の詳細を参照してください。\nオプションの start、list-item-prefix、list-item-suffix、end 引数が省略された場合、デフォルト値の &lt;ul&gt;、&lt;li&gt;、&lt;/li&gt;、&lt;/ul&gt; が使用されます。が使用されています。\nオプションの 5 番目の引数 type を使用すると、TBX のリンク タイプ パレットに表示される名前付きタイプのように、エクスポートされるリストを特定のリンク タイプに制限できます。type は省略できますが、これを使用したい場合は、前述の 4 つの引数をすべて指定する必要があります。たとえば:\n^^inboundTextLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""example"")^^\n「example」タイプのインバウンドリンクのみをリストします。type 引数は正規表現であるため、特定のリンク タイプ名を指定するほかに、ワイルドカード文字や適格なリンク タイプのリストなどを指定できます。\n^^inboundTextLinks(""&lt;ul>"",""&lt;li>"",""&lt;/li>"",""&lt;/ul>"",""(example|untitled)"")^^\n「無題」および「例」タイプのリンクがリストされます。\n「^^inboundLinks^^」、「^^inboundBasicLinks^^」も参照してください。このコードの論理的に反対のコードは ^^outboundTextLinks^^ です。\nこのコードは、基礎となる Tinderbox リンク値に基づいて CSS クラスとターゲットをエクスポートします。これらが実際に完了していると仮定します。リンク タイプの値はクラス名として選択されません。\n同じソースからのインバウンドリンクが複数ある場合、そのリンクは 1 回だけリストされます。\n新しい項目オブジェクトのソースと宛先は、引数内で使用されるデータがどこから取り出されるかを示すために使用できます。\nエクスポートはこれではなく現在に相対的なものであるため、含まれているファイルの作業が容易になります。\nv11.0.0 以降、オペレーターのリスト出力では、エクスポートされないメモが省略されます。"
"^include( ^value(item|group)^[, ^value(template)^] )^","^^include( ^^value(item|group)^^ )^^\nA more generalised way to understand this operator is:\n^^include( which note(s), optionally using which template )^^\nThe first argument resolves to telling Tinderbox where it should look for the note(s) to process. The second argument uses that note's assigned export template or the optionally suppled template is used instead. It thus allows a different export template to be used to render the data returned via ^^include^^. \nThis can be a useful method to export (parts of) a note in different ways via different template - but all from the same source note.\n^^include( ^^value(item|group)^^ )^^\nIncludes a single item or a group (i.e. list) of notes, using their default export template(s), in the web page for the current note. Note the requirement for the argument to be placed within a ^^value()^^ code, or else only incorrect.\nThe item or group scope may also be set from an attribute holding a list of paths, a list-based variable or the returned value of a function.\n^^include( ^^value(item)^^, ^^value(template)^^ )^^\nThe item behaviour is as above but now Tinderbox uses the specified export template passed via template rather than each item's assigned/inherited export template.\n^^include( ^^value(group)^^, ^^value(template)^^ )^^\nThe same applies for group scope, but the same template is applied separately to each group list item.\nAn example of using a template argument is given further below.\nSyntax for single item\nA quoted string literal can be used to specify a single item:\n	^^include(^^value(""a note"")^^)^^ \nIf the item is being assembled via a simple expressions such as string concatenation, an additional ^^value()^^ wrapper is needed to ensure the value passed to ^^include()^^ is an actual string or list:\n	^^include(^^value(""Some""+"" note"")^^)^^ → include calls the note ""Some note""\nIf a stored attribute value is used :\n	^^include(^^value($MyString)^^)^^ \n	^^include^^value(($MyString(""Some note""))^^)^^ \nIn both cases above, $MyString must hold a single note's $Name or its full $Path value, oo $IDString (a Number-type could hold an $ID). Or else, here using a string-type variable 'vString':\n	^^include(^^value(vString)^^)^^ \nSyntax for multi-item group\nA literal group reference via a literal list:\n	^^include(^^value([a note;another note])^^)^^ \nIf using an attribute with group scope:\n	^^include(^^value($MyList)^^)^^ \n	^^include(^^value($MyList(""Another note""))^^)^^ \nExpressions that resolve to either item or group scope must also use a ^^value()^^ wrapper. The most common use with an expression is a find():\n	^^include(^^value(find(inside(Some note)))^^)^^ \n	^^include(^^value(find($Text.contains(""Nelson"")))^^)^^ \nUsing the Template optional argument\nThe optional second argument specifies the export template to use when including is evaluated. Why might this be needed? In the basic form above, the operator tells the HTML export process to include data from other note(s) into the data being created for the currently-processed note.\nBy default the nature of the included data is set via the target's export template (or the Tinderbox document's default export template). However, the most common use of an include is that only some data, e.g. just a few attributes or the text, are actually required. The template argument allows the user to specify a different, specific template for the inclusion task. template must be a valid template note in the current TBX document. \nThe template argument is evaluated. So, as with the item/group input, template can be specified as a literal string, a string value stored in an attribute or an expression that resolves to a literal string holding a template $Name or $Path. For example:\n	^^include(/colophon,^^value($MyTemplate)^^)^^ \nwould export the top-level note named ""colophon"" using the template named in $MyTemplate for the note currently being processed. (not 'colophon'!). In other words, $MyTemplate is referenced for the context of the note calling the ^^include()^^ and not the note referenced by item (i.e. the note at path '/colophon').\nThus it is possible to have both arguments parameterised, as in the following:\n	^^include(^^value($StringAttribute(ItemNameOrPath))^^,^^value($TemplateName)^^)^^ \nExamples of template use\nAn example to include attribute data: to get and include values of 3 attributes for 'a note', the process could call:\n	^^include(""a note"", ""3_attributes"")^^ \nWhere the template ""3_attributes"" has the template code:\n	^^value($FirstName)^^ ^^value($LastName)^^. Tel: ^^value($Phone)^^ \nOf course, the same values could also be called as ^^value($FirstName(""a note""))^^, etc., instead of using ^^include()^^. Choosing between the methods is a matter of style and the nature of the task.\nAn example of embedding only a note's  text. If the TBX's default export template generates a complete HTML page for note, then this code in Note A's text:\n	^^include(^^value(""Note B""))^^)^^ WRONG!\n…would nest a complete HTML page's coding inside the &lt;body> content of note A. A browser might cope, but this in not valid HTML use! Instead, it is necessary to specify a template that simply returns the relevant inline content markup: in this case ^^text^^ in a template called 'text-only'. The corrected include is:\n	^^include(^^value(""Note B""))^^,^^value(""text-only"")^^)^^\nNote: the value of template must resolve to a single template note. template may note be 'raw' export code (as some other operators may allow):\n	WRONG! ^^include(^^value(""Note B""))^^,^^value(""^^text^^"")^^)^^\nExport and links into included (transcluded) content\nIn is important to understand that Tinderbox will not generate HTML links for internal links that point to notes that are only exported via the ^^include()^^ method; consider linking to the note's (exported) parent note instead. The same implies to other forms of transclusive operator: e.g. ^^children()^^. Such links will not generate #in-page-anchor URLs. In other words, it is not possible, for exported pages to link to include-embedded content in other pages.\nLegacy Usage\nAlthough above it stipulates use of ^^value()^^ for both arguments in all cases, this is not strictly needed. The documentation is like this as it is very difficult for the novice or occasional user to guess if such an argument wrapper is truly needed. The default above will work regardless. Existing code that does not use ^^value()^^ will continue to work. Expert users who know where ^^value()^^ is not strictly necessary may continue to omit it. But canonical use is for ^^value()^^ enclosing each argument.",指定したノート（またはノートのグループ）を、指定したテンプレート（省略時はそのノートのデフォルトテンプレート）を使用して取り込みます。
